trip_id,year,month,season,origin_country,destination_country,travel_purpose,traveler_type,num_travelers,duration_nights,transport_mode,accommodation_type,visa_type,booking_channel,advance_booking_days,budget_per_person_usd,total_trip_spend_usd,restaurant_spend_per_day_usd,attractions_visited,local_transport_used,travel_insurance,repeat_visitor,overall_satisfaction,trip_rating,safety_perception,language_barrier,wifi_satisfaction,would_recommend,social_media_shared,eco_friendly_choices,carbon_footprint_kg_co2,currency_satisfaction,health_safety_compliance
TRP0000011,2023,5,Summer (Jun-Aug),Australia,Egypt,Business,Family,6,6,Air,3-Star Hotel,Visa-Free,Online Travel Agency,20,844.42,5066.52,146.22,4,Taxi/Ride-share,Yes,No,Satisfied,5,Safe,None,Good,Definitely Not,Facebook,No,2255.9,Unfavorable,Full
TRP0000012,2019,6,Summer (Jun-Aug),Saudi Arabia,Australia,Business,Backpacker,1,6,Air,Airbnb/Vacation Rental,Visa on Arrival,Travel Agent,27,1695.62,1695.62,29.85,3,Walking/Cycling,No,Yes,Neutral,5,Neutral,Moderate,Excellent,Maybe,Instagram,No,683.9,Favorable,Partial
TRP0000013,2019,6,Summer (Jun-Aug),Russia,France,Education,Group Tour,19,174,Road,3-Star Hotel,Visa-Free,Online Travel Agency,23,760.64,14452.16,46.91,2,Tour Bus,No,Yes,Very Dissatisfied,4,Very Safe,None,Good,Maybe,Instagram,Yes,290.7,Favorable,Partial
TRP0000014,2024,8,Spring (Mar-May),Brazil,Singapore,Leisure/Tourism,Family,5,10,Air,3-Star Hotel,Visa-Free,Travel Agent,7,4757.37,23786.85,78.95,1,Walking/Cycling,Yes,No,Neutral,4,Very Safe,Mild,Good,Definitely,Instagram,No,3152.0,Favorable,Full
TRP0000015,2021,6,Winter (Dec-Feb),Brazil,UK,Family Visit,Family,5,13,Air,Airbnb/Vacation Rental,Visa-Free,Mobile App,95,341.24,1706.2,109.42,10,Taxi/Ride-share,No,Yes,Satisfied,5,Safe,None,Good,Definitely,Instagram,No,4443.3,Neutral,Full
TRP0000016,2022,9,Autumn (Sep-Nov),Canada,Indonesia,Business,Couple,2,2,Road,3-Star Hotel,Embassy Visa,Mobile App,18,4197.25,8394.5,148.74,3,Walking/Cycling,Yes,Yes,Satisfied,4,Safe,Moderate,Poor,Definitely,Instagram,No,34.9,Favorable,Full
TRP0000017,2020,4,Summer (Jun-Aug),Spain,Thailand,Business,Couple,1,3,Road,4-Star Hotel,E-Visa,Travel Agent,158,1535.55,1535.55,27.77,3,Public Transport,Yes,Yes,Satisfied,5,Neutral,Severe,Average,Definitely,Facebook,Yes,83.9,Neutral,Full
TRP0000018,2019,1,Summer (Jun-Aug),Japan,Switzerland,Religious/Pilgrimage,Couple,2,10,Air,3-Star Hotel,Visa on Arrival,Online Travel Agency,30,1995.07,3990.14,50.68,5,Taxi/Ride-share,Yes,No,Very Satisfied,4,Unsafe,Severe,Average,Maybe,TikTok,Partially,613.7,Neutral,Partial
TRP0000019,2022,2,Spring (Mar-May),France,UK,Leisure/Tourism,Family,3,11,Rail,3-Star Hotel,E-Visa,Online Travel Agency,35,1491.91,4475.73,45.5,2,Rental Car,No,Yes,Very Dissatisfied,2,Safe,Severe,No WiFi,Definitely,TikTok,Partially,171.8,Favorable,Full
TRP0000020,2021,1,Summer (Jun-Aug),USA,Morocco,Religious/Pilgrimage,Group Tour,18,11,Air,Budget Hotel/Hostel,Visa on Arrival,Mobile App,63,605.09,10891.62,79.0,4,Rental Car,Yes,No,Satisfied,5,Unsafe,None,Average,Definitely,Instagram,Partially,4172.6,Favorable,Full
TRP0000021,2023,5,Winter (Dec-Feb),Saudi Arabia,Maldives,Honeymoon,Business Traveler,1,11,Air,3-Star Hotel,Visa-Free,Mobile App,13,1388.67,1388.67,180.87,7,Taxi/Ride-share,Yes,Yes,Neutral,3,Very Safe,None,Poor,Definitely,Instagram,No,109.8,Very Favorable,Full
TRP0000022,2024,1,Spring (Mar-May),Italy,Egypt,Business,Solo,1,3,Rail,4-Star Hotel,Embassy Visa,Travel Agent,27,4043.89,4043.89,206.17,2,Taxi/Ride-share,Yes,Yes,Satisfied,4,Neutral,Moderate,Excellent,Maybe,Twitter/X,Yes,28.4,Favorable,Partial
TRP0000023,2020,10,Autumn (Sep-Nov),France,Spain,Cultural Exchange,Solo,1,5,Cruise Ship,5-Star Hotel,Visa-Free,Travel Agent,20,2653.32,2653.32,65.16,7,Boat,No,No,Satisfied,4,Safe,Severe,Good,Probably,Multiple Platforms,No,452.1,Very Favorable,Full
TRP0000024,2022,11,Summer (Jun-Aug),Turkey,Maldives,Medical Tourism,Family,3,16,Air,Airbnb/Vacation Rental,Visa-Free,Direct Hotel/Airline,15,3710.72,11132.16,53.77,4,Walking/Cycling,No,No,Neutral,5,Safe,Moderate,Good,Definitely,TikTok,No,1475.9,Favorable,Full
TRP0000025,2023,1,Spring (Mar-May),USA,Thailand,Adventure/Sports,Couple,1,16,Air,Budget Hotel/Hostel,Embassy Visa,Direct Hotel/Airline,44,345.98,345.98,47.33,2,Rental Car,Yes,Yes,Satisfied,5,Very Safe,None,Good,Definitely,Facebook,Yes,156.5,Very Favorable,Full
TRP0000026,2022,2,Summer (Jun-Aug),Brazil,Japan,Business,Backpacker,1,4,Air,3-Star Hotel,Visa on Arrival,Mobile App,7,2003.03,2003.03,179.45,6,Tour Bus,No,No,Satisfied,3,Safe,None,Excellent,Maybe,Facebook,No,587.6,Favorable,Full
TRP0000027,2019,2,Spring (Mar-May),Germany,USA,Business,Family,3,6,Air,Budget Hotel/Hostel,Embassy Visa,Online Travel Agency,20,1759.07,5277.21,73.63,2,Tour Bus,Yes,No,Dissatisfied,4,Safe,Severe,Poor,Maybe,None,Partially,1294.0,Favorable,Full
TRP0000028,2022,4,Summer (Jun-Aug),Brazil,Italy,Leisure/Tourism,Couple,1,13,Ferry,5-Star Hotel,E-Visa,Online Travel Agency,24,4837.54,4837.54,76.87,4,Walking/Cycling,Yes,No,Very Satisfied,2,Safe,None,Average,Definitely,Instagram,Yes,55.0,Unfavorable,Full
TRP0000029,2024,5,Winter (Dec-Feb),Canada,Spain,Leisure/Tourism,Couple,1,19,Air,Guesthouse,Visa on Arrival,Mobile App,25,1414.23,1414.23,143.6,5,Walking/Cycling,Yes,No,Satisfied,4,Safe,None,Excellent,Probably,TikTok,Yes,831.6,Unfavorable,None
TRP0000030,2024,3,Winter (Dec-Feb),Australia,Indonesia,Leisure/Tourism,Business Traveler,1,17,Air,4-Star Hotel,Visa on Arrival,Direct Hotel/Airline,8,4377.96,4377.96,112.72,5,Public Transport,No,No,Satisfied,2,Unsafe,Moderate,Poor,Definitely Not,Instagram,Partially,651.9,Neutral,Partial
TRP0000031,2021,8,Winter (Dec-Feb),Saudi Arabia,Malaysia,Digital Nomad,Family,6,38,Air,Budget Hotel/Hostel,Visa-Free,Direct Hotel/Airline,173,244.25,1465.5,63.39,5,Walking/Cycling,No,No,Very Satisfied,3,Very Safe,None,Good,Maybe,Instagram,No,2658.4,Neutral,Partial
TRP0000032,2024,1,Winter (Dec-Feb),UK,New Zealand,Medical Tourism,Solo,1,24,Air,3-Star Hotel,Embassy Visa,Online Travel Agency,56,2007.72,2007.72,92.72,2,Tour Bus,Yes,Yes,Very Satisfied,3,Neutral,Severe,Poor,Definitely,Instagram,Yes,499.6,Very Favorable,Partial
TRP0000033,2024,3,Spring (Mar-May),India,Malaysia,Business,Family,5,6,Air,Airbnb/Vacation Rental,Visa-Free,Online Travel Agency,46,3042.79,15213.95,206.42,4,Rental Car,No,Yes,Satisfied,4,Safe,Mild,Average,Probably,None,No,2810.7,Very Favorable,None
TRP0000034,2023,5,Summer (Jun-Aug),Japan,Switzerland,Family Visit,Couple,1,6,Air,Budget Hotel/Hostel,E-Visa,Mobile App,31,2468.54,2468.54,173.93,5,Boat,No,No,Very Satisfied,2,Very Safe,None,Good,Probably,Instagram,No,460.9,Unfavorable,Full
TRP0000035,2024,7,Summer (Jun-Aug),Canada,Indonesia,Education,Couple,1,121,Air,Budget Hotel/Hostel,E-Visa,Online Travel Agency,89,376.12,376.12,94.29,7,Rental Car,Yes,No,Satisfied,3,Neutral,None,Poor,Probably,Instagram,No,698.0,Very Favorable,None
TRP0000036,2019,1,Winter (Dec-Feb),India,Singapore,Digital Nomad,Family,4,80,Air,5-Star Hotel,Visa on Arrival,Online Travel Agency,34,1753.13,7012.52,249.63,6,Boat,Yes,Yes,Very Satisfied,1,Safe,None,Average,Definitely,Twitter/X,Partially,2907.7,Favorable,Full
TRP0000037,2022,6,Winter (Dec-Feb),Russia,Maldives,Business,Group Tour,22,2,Air,Resort,E-Visa,Corporate Booking,43,6379.65,140352.3,64.4,2,Taxi/Ride-share,No,Yes,Satisfied,5,Very Unsafe,None,No WiFi,Maybe,YouTube,Partially,11165.8,Favorable,Partial
TRP0000038,2022,11,Autumn (Sep-Nov),Pakistan,Thailand,Leisure/Tourism,Backpacker,2,7,Air,Resort,Visa on Arrival,Online Travel Agency,44,13147.97,26295.94,84.94,7,Rental Car,Yes,No,Satisfied,4,Very Safe,Moderate,Average,Maybe,YouTube,Partially,1353.7,Neutral,Full
TRP0000039,2020,10,Autumn (Sep-Nov),Saudi Arabia,Thailand,Family Visit,Family,4,13,Air,5-Star Hotel,Embassy Visa,Online Travel Agency,99,1772.53,7090.12,106.92,3,Rental Car,No,No,Satisfied,3,Neutral,None,No WiFi,Definitely,TikTok,Partially,3232.4,Favorable,Partial
TRP0000040,2024,7,Spring (Mar-May),Saudi Arabia,Japan,Leisure/Tourism,Business Traveler,1,9,Road,Resort,E-Visa,Online Travel Agency,30,6964.39,6964.39,80.17,2,Taxi/Ride-share,No,No,Neutral,5,Very Safe,Mild,Average,Probably,TikTok,No,26.0,Favorable,Partial
TRP0000041,2023,8,Autumn (Sep-Nov),India,Malaysia,Honeymoon,Couple,1,8,Rail,4-Star Hotel,Visa-Free,Direct Hotel/Airline,110,855.37,855.37,33.32,0,Public Transport,No,No,Satisfied,4,Very Unsafe,Mild,Good,Definitely,Multiple Platforms,Yes,38.4,Neutral,Full
TRP0000042,2021,10,Spring (Mar-May),Brazil,Greece,Education,Family,5,36,Road,5-Star Hotel,Visa on Arrival,Mobile App,77,2433.09,12165.45,43.86,11,Taxi/Ride-share,Yes,No,Satisfied,2,Safe,None,Poor,Probably Not,Facebook,No,225.4,Favorable,Full
TRP0000043,2023,9,Summer (Jun-Aug),USA,Switzerland,Digital Nomad,Family,5,49,Air,Guesthouse,Visa on Arrival,Mobile App,25,1873.33,9366.65,64.34,4,Taxi/Ride-share,No,Yes,Satisfied,4,Safe,None,Good,Definitely,None,No,830.8,Neutral,Full
TRP0000044,2021,12,Autumn (Sep-Nov),Germany,Indonesia,Cultural Exchange,Family,3,11,Air,4-Star Hotel,E-Visa,Travel Agent,65,3387.07,10161.21,42.27,5,Taxi/Ride-share,Yes,No,Dissatisfied,4,Very Safe,Moderate,Good,Probably,TikTok,Partially,2076.6,Favorable,None
TRP0000045,2020,5,Spring (Mar-May),UAE,Egypt,Religious/Pilgrimage,Group Tour,20,19,Road,Budget Hotel/Hostel,Visa on Arrival,Direct Hotel/Airline,42,1791.03,35820.6,328.72,8,Public Transport,Yes,No,Satisfied,5,Very Unsafe,Mild,Good,Definitely,TikTok,No,375.4,Very Favorable,Full
TRP0000046,2024,6,Winter (Dec-Feb),Germany,Spain,Leisure/Tourism,Solo,1,13,Cruise Ship,4-Star Hotel,E-Visa,Travel Agent,9,3957.27,3957.27,83.52,7,Taxi/Ride-share,Yes,No,Very Satisfied,5,Safe,None,Good,Probably,Multiple Platforms,No,557.4,Neutral,Partial
TRP0000047,2020,1,Summer (Jun-Aug),USA,USA,Leisure/Tourism,Family,5,9,Air,Airbnb/Vacation Rental,Visa on Arrival,Corporate Booking,187,1981.78,9908.9,25.94,4,Public Transport,No,Yes,Very Satisfied,3,Unsafe,Mild,Good,Maybe,YouTube,Partially,2091.5,Favorable,Partial
TRP0000048,2024,8,Autumn (Sep-Nov),Germany,UAE,Business,Family,6,6,Air,Airbnb/Vacation Rental,Embassy Visa,Corporate Booking,25,2224.68,13348.08,40.16,4,Taxi/Ride-share,Yes,No,Neutral,5,Neutral,Mild,Good,Probably,YouTube,No,4826.6,Neutral,None
TRP0000049,2024,12,Autumn (Sep-Nov),China,USA,Honeymoon,Solo,1,17,Air,3-Star Hotel,E-Visa,Mobile App,101,2500.49,2500.49,28.32,2,Taxi/Ride-share,Yes,No,Satisfied,4,Neutral,Moderate,Poor,Maybe,Instagram,No,661.8,Neutral,Full
TRP0000050,2024,1,Spring (Mar-May),Turkey,UAE,Leisure/Tourism,Couple,2,19,Rail,Budget Hotel/Hostel,Embassy Visa,Online Travel Agency,22,682.41,1364.82,29.71,4,Public Transport,No,No,Very Satisfied,4,Safe,Mild,Good,Probably,Instagram,Partially,29.3,Favorable,Full
TRP0000051,2023,4,Spring (Mar-May),USA,Spain,Business,Couple,1,3,Air,3-Star Hotel,Visa on Arrival,Online Travel Agency,18,4222.17,4222.17,50.67,9,Public Transport,No,No,Neutral,4,Very Safe,Moderate,Excellent,Probably,TikTok,No,739.5,Neutral,Full
TRP0000052,2024,1,Spring (Mar-May),Germany,USA,Leisure/Tourism,Group Tour,14,20,Air,4-Star Hotel,Visa on Arrival,Direct Hotel/Airline,23,1073.64,15030.96,62.53,7,Taxi/Ride-share,Yes,No,Very Dissatisfied,4,Safe,Mild,Good,Definitely,YouTube,No,3727.0,Neutral,Partial
TRP0000053,2022,8,Spring (Mar-May),Germany,Malaysia,Leisure/Tourism,Family,4,13,Air,3-Star Hotel,Visa-Free,Online Travel Agency,26,1495.14,5980.56,39.75,4,Public Transport,Yes,No,Neutral,3,Very Safe,Mild,Excellent,Definitely,Instagram,Partially,2384.2,Very Unfavorable,Full
TRP0000054,2023,5,Summer (Jun-Aug),China,Singapore,Leisure/Tourism,Couple,1,17,Air,Airbnb/Vacation Rental,Visa on Arrival,Online Travel Agency,10,1317.25,1317.25,39.71,3,Public Transport,No,Yes,Satisfied,5,Very Safe,None,Good,Probably Not,None,No,778.3,Very Favorable,Full
TRP0000055,2022,2,Summer (Jun-Aug),Netherlands,New Zealand,Business,Family,4,5,Road,5-Star Hotel,Visa on Arrival,Direct Hotel/Airline,33,6953.79,27815.16,47.77,5,Public Transport,No,No,Satisfied,5,Safe,Mild,Excellent,Probably,Instagram,No,349.9,Unfavorable,Full
TRP0000056,2019,4,Winter (Dec-Feb),South Korea,Malaysia,Medical Tourism,Family,3,25,Road,Airbnb/Vacation Rental,E-Visa,Travel Agent,12,3259.74,9779.22,98.16,4,Taxi/Ride-share,Yes,Yes,Very Satisfied,5,Neutral,None,Excellent,Maybe,YouTube,No,198.6,Neutral,Full
TRP0000057,2021,6,Spring (Mar-May),Turkey,Thailand,Leisure/Tourism,Couple,2,18,Road,Airbnb/Vacation Rental,Visa-Free,Online Travel Agency,32,5281.89,10563.78,36.61,6,Walking/Cycling,No,No,Very Satisfied,4,Safe,None,Poor,Probably,Twitter/X,Partially,146.9,Very Favorable,Full
TRP0000058,2023,2,Summer (Jun-Aug),China,Canada,Adventure/Sports,Family,6,19,Road,3-Star Hotel,E-Visa,Direct Hotel/Airline,69,794.44,4766.64,45.8,3,Rental Car,No,Yes,Dissatisfied,5,Unsafe,None,Excellent,Probably,TikTok,Partially,448.7,Very Unfavorable,Full
TRP0000059,2022,10,Winter (Dec-Feb),UK,Singapore,Leisure/Tourism,Couple,1,7,Road,Resort,Visa on Arrival,Direct Hotel/Airline,47,8200.47,8200.47,47.9,6,Taxi/Ride-share,Yes,No,Satisfied,5,Safe,Mild,Good,Definitely,Twitter/X,Yes,22.5,Favorable,Partial
TRP0000060,2022,2,Spring (Mar-May),Netherlands,USA,Leisure/Tourism,Group Tour,11,4,Air,Camping/Glamping,E-Visa,Direct Hotel/Airline,13,683.86,7522.46,69.41,3,Public Transport,Yes,No,Very Satisfied,2,Neutral,None,Average,Definitely,Instagram,Partially,6937.4,Favorable,Full
TRP0000061,2023,10,Spring (Mar-May),Saudi Arabia,USA,Leisure/Tourism,Group Tour,8,5,Road,Resort,Embassy Visa,Online Travel Agency,23,617.67,4941.36,60.67,5,Rental Car,No,Yes,Satisfied,4,Very Safe,None,Good,Probably,Instagram,No,644.3,Unfavorable,Partial
TRP0000062,2022,10,Winter (Dec-Feb),Italy,Greece,Business,Couple,2,3,Air,Budget Hotel/Hostel,E-Visa,Direct Hotel/Airline,33,500.1,1000.2,20.76,6,Walking/Cycling,Yes,No,Satisfied,4,Very Safe,Mild,Good,Definitely,Multiple Platforms,No,1239.0,Very Favorable,None
TRP0000063,2022,7,Winter (Dec-Feb),Saudi Arabia,France,Adventure/Sports,Couple,1,15,Air,4-Star Hotel,Visa on Arrival,Online Travel Agency,60,1428.63,1428.63,51.92,5,Rental Car,Yes,Yes,Neutral,5,Safe,Mild,Good,Definitely Not,Multiple Platforms,Partially,368.6,Very Favorable,Full
TRP0000064,2020,9,Winter (Dec-Feb),France,Italy,Business,Couple,1,4,Air,Airbnb/Vacation Rental,Visa-Free,Direct Hotel/Airline,43,2585.78,2585.78,35.76,4,Walking/Cycling,Yes,No,Satisfied,5,Safe,Mild,No WiFi,Definitely,Twitter/X,No,820.3,Very Unfavorable,Full
TRP0000065,2019,1,Summer (Jun-Aug),Japan,Egypt,Religious/Pilgrimage,Couple,2,7,Air,Budget Hotel/Hostel,Visa-Free,Direct Hotel/Airline,12,206.63,413.26,88.84,5,Taxi/Ride-share,Yes,No,Very Dissatisfied,4,Very Safe,Mild,Excellent,Maybe,Facebook,Partially,551.8,Very Unfavorable,Full
TRP0000066,2020,3,Summer (Jun-Aug),Italy,UAE,Family Visit,Family,6,13,Air,Resort,Visa-Free,Online Travel Agency,21,3795.66,22773.96,180.58,8,Taxi/Ride-share,No,No,Neutral,3,Safe,Mild,Good,Definitely,Facebook,No,1873.2,Neutral,Partial
TRP0000067,2020,10,Winter (Dec-Feb),Spain,New Zealand,Leisure/Tourism,Backpacker,1,6,Air,5-Star Hotel,Visa-Free,Corporate Booking,10,10523.58,10523.58,149.91,6,Tour Bus,No,No,Satisfied,4,Very Safe,Mild,Average,Definitely,Facebook,No,573.3,Neutral,Full
TRP0000068,2023,3,Spring (Mar-May),Japan,Italy,Family Visit,Group Tour,26,11,Air,4-Star Hotel,Visa-Free,Online Travel Agency,18,2422.68,62989.68,72.34,4,Walking/Cycling,Yes,No,Dissatisfied,3,Very Safe,None,Good,Maybe,Multiple Platforms,No,3599.8,Neutral,Full
TRP0000069,2024,4,Autumn (Sep-Nov),Australia,USA,Education,Group Tour,19,70,Air,Budget Hotel/Hostel,Visa-Free,Corporate Booking,111,1034.53,19656.07,47.23,7,Tour Bus,Yes,No,Neutral,4,Safe,None,Poor,Maybe,Instagram,No,9728.5,Neutral,None
TRP0000070,2023,11,Winter (Dec-Feb),Spain,Singapore,Adventure/Sports,Family,4,3,Air,5-Star Hotel,Visa on Arrival,Online Travel Agency,23,1646.73,6586.92,80.18,2,Walking/Cycling,No,No,Very Satisfied,5,Very Safe,Mild,Excellent,Definitely,Facebook,No,2757.7,Neutral,Full
TRP0000071,2024,9,Summer (Jun-Aug),UAE,Indonesia,Education,Business Traveler,1,128,Air,Resort,Embassy Visa,Online Travel Agency,76,2749.89,2749.89,17.9,4,Boat,Yes,No,Satisfied,5,Very Safe,None,Poor,Probably,Multiple Platforms,Partially,484.7,Neutral,Full
TRP0000072,2023,2,Winter (Dec-Feb),Australia,Japan,Business,Business Traveler,1,2,Air,Airbnb/Vacation Rental,E-Visa,Travel Agent,15,6952.36,6952.36,53.97,3,Taxi/Ride-share,Yes,No,Satisfied,1,Safe,Severe,Good,Definitely,TikTok,Partially,705.9,Neutral,Partial
TRP0000073,2024,11,Winter (Dec-Feb),Brazil,UK,Leisure/Tourism,Couple,2,3,Air,Resort,E-Visa,Travel Agent,85,5631.19,11262.38,45.0,2,Rental Car,No,No,Very Satisfied,4,Safe,Moderate,No WiFi,Definitely,YouTube,Yes,185.8,Neutral,Partial
TRP0000074,2023,5,Summer (Jun-Aug),India,Turkey,Leisure/Tourism,Solo,1,5,Air,4-Star Hotel,E-Visa,Travel Agent,22,4232.67,4232.67,87.55,5,Public Transport,Yes,Yes,Satisfied,2,Neutral,None,Good,Maybe,Instagram,No,99.9,Neutral,Full
TRP0000075,2023,12,Spring (Mar-May),Turkey,Italy,Leisure/Tourism,Backpacker,2,14,Rail,3-Star Hotel,Visa-Free,Direct Hotel/Airline,31,1191.71,2383.42,61.0,2,Taxi/Ride-share,No,Yes,Neutral,5,Neutral,None,Good,Definitely,TikTok,Partially,40.4,Neutral,Full
TRP0000076,2023,7,Summer (Jun-Aug),Pakistan,Thailand,Leisure/Tourism,Solo,1,7,Rail,3-Star Hotel,E-Visa,Online Travel Agency,37,1436.96,1436.96,106.47,3,Rental Car,Yes,Yes,Very Satisfied,5,Unsafe,None,Excellent,Probably Not,TikTok,Yes,27.6,Unfavorable,Partial
TRP0000077,2019,1,Spring (Mar-May),Turkey,New Zealand,Leisure/Tourism,Couple,1,13,Road,3-Star Hotel,E-Visa,Online Travel Agency,7,674.05,674.05,40.08,5,Walking/Cycling,Yes,No,Very Satisfied,5,Safe,None,Average,Probably,Twitter/X,No,20.9,Neutral,Full
TRP0000078,2022,9,Summer (Jun-Aug),Saudi Arabia,USA,Leisure/Tourism,Solo,1,15,Air,Guesthouse,Embassy Visa,Direct Hotel/Airline,24,893.27,893.27,131.7,1,Rental Car,Yes,Yes,Satisfied,5,Very Safe,Moderate,No WiFi,Maybe,Instagram,No,704.6,Very Favorable,Partial
TRP0000079,2022,6,Spring (Mar-May),UK,Turkey,Medical Tourism,Business Traveler,1,8,Air,Camping/Glamping,Embassy Visa,Direct Hotel/Airline,24,518.79,518.79,50.52,4,Rental Car,Yes,No,Neutral,3,Safe,None,Good,Definitely,Twitter/X,Partially,308.1,Neutral,Full
TRP0000080,2022,12,Winter (Dec-Feb),Canada,France,Adventure/Sports,Business Traveler,1,4,Air,Camping/Glamping,Embassy Visa,Direct Hotel/Airline,17,1213.92,1213.92,115.45,3,Public Transport,Yes,No,Neutral,4,Safe,Mild,Excellent,Definitely,Instagram,Partially,762.0,Favorable,None
TRP0000081,2024,4,Winter (Dec-Feb),Pakistan,Turkey,Honeymoon,Family,6,15,Road,5-Star Hotel,E-Visa,Corporate Booking,18,1883.53,11301.18,85.79,7,Rental Car,Yes,No,Neutral,4,Very Safe,Moderate,Poor,Definitely Not,Twitter/X,No,704.4,Neutral,Partial
TRP0000082,2024,6,Summer (Jun-Aug),USA,France,Honeymoon,Couple,2,15,Air,3-Star Hotel,Visa-Free,Travel Agent,32,1363.01,2726.02,27.82,3,Rental Car,No,No,Satisfied,4,Safe,None,Good,Definitely,Instagram,No,319.2,Neutral,Partial
TRP0000083,2019,6,Winter (Dec-Feb),USA,Canada,Leisure/Tourism,Solo,1,17,Ferry,4-Star Hotel,E-Visa,Travel Agent,45,5878.83,5878.83,250.06,6,Rental Car,Yes,No,Neutral,5,Very Safe,Mild,Excellent,Maybe,TikTok,No,87.6,Favorable,Full
TRP0000084,2023,2,Summer (Jun-Aug),Australia,Thailand,Honeymoon,Group Tour,12,10,Air,4-Star Hotel,Visa on Arrival,Mobile App,18,1322.65,15871.8,234.59,5,Rental Car,No,No,Neutral,5,Neutral,None,Good,Probably,TikTok,No,5398.0,Neutral,Partial
TRP0000085,2023,3,Summer (Jun-Aug),USA,Singapore,Leisure/Tourism,Business Traveler,1,4,Air,Airbnb/Vacation Rental,Visa-Free,Online Travel Agency,39,1858.57,1858.57,55.22,8,Walking/Cycling,No,No,Satisfied,3,Safe,None,Good,Probably Not,Facebook,No,683.9,Neutral,Partial
TRP0000086,2021,12,Winter (Dec-Feb),France,Thailand,Leisure/Tourism,Family,4,5,Road,3-Star Hotel,Visa-Free,Travel Agent,14,1566.7,6266.8,103.67,6,Tour Bus,Yes,Yes,Neutral,3,Very Safe,Mild,No WiFi,Probably,Twitter/X,No,330.5,Neutral,None
